Name of medicine,EMA product number,Medicine status,International non-proprietary name (INN) / common name,Active substance
Otezla,EMEA/H/C/003746,Authorised,apremilast,apremilast
Yesafili,EMEA/H/C/006022,Authorised,aflibercept,aflibercept
Zvogra,EMEA/H/C/006552,Authorised,denosumab,denosumab
Abiraterone Accord,EMEA/H/C/005408,Authorised,abiraterone,abiraterone acetate
Stoboclo,EMEA/H/C/006156,Authorised,denosumab,denosumab
Abevmy,EMEA/H/C/005327,Authorised,bevacizumab,bevacizumab
Nemluvio,EMEA/H/C/006149,Authorised,nemolizumab,nemolizumab
Rydapt,EMEA/H/C/004095,Authorised,midostaurin,Midostaurin
Aranesp,EMEA/H/C/000332,Authorised,darbepoetin alfa,darbepoetin alfa
Welireg,EMEA/H/C/005636,Authorised,belzutifan,belzutifan
Mavenclad,EMEA/H/C/004230,Authorised,cladribine,Cladribine
Kisunla,EMEA/H/C/006024,Authorised,donanemab,donanemab
Yesintek,EMEA/H/C/006444,Authorised,ustekinumab,ustekinumab
Besremi,EMEA/H/C/004128,Authorised,ropeginterferon alfa-2b,ropeginterferon alfa-2b
Inrebic,EMEA/H/C/005026,Authorised,fedratinib,fedratinib dihydrochloride monohydrate
GalenVita,EMEA/H/C/006639,Authorised,germanium (68Ge) chloride;gallium (68Ga) chloride,germanium (68Ge) chloride;gallium (68Ga) chloride
Winlevi,EMEA/H/C/006138,Authorised,clascoterone,clascoterone
Voydeya,EMEA/H/C/005517,Authorised,danicopan,Danicopan
Entresto,EMEA/H/C/004062,Authorised,sacubitril;valsartan,sacubitril;valsartan
Neparvis,EMEA/H/C/004343,Authorised,sacubitril;valsartan,sacubitril;valsartan
Celsentri,EMEA/H/C/000811,Authorised,maraviroc,maraviroc
Hetronifly,EMEA/H/C/006170,Authorised,serplulimab,serplulimab
Latuda,EMEA/H/C/002713,Authorised,lurasidone,lurasidone
Libmyris,EMEA/H/C/005947,Authorised,adalimumab,adalimumab
Bosulif,EMEA/H/C/002373,Authorised,bosutinib,bosutinib (as monohydrate)
Abilify,EMEA/H/C/000471,Authorised,aripiprazole,aripiprazole
Xeljanz,EMEA/H/C/004214,Authorised,tofacitinib,tofacitinib
Tremfya,EMEA/H/C/004271,Authorised,guselkumab,Guselkumab
Hepcludex,EMEA/H/C/004854,Authorised,bulevirtide,bulevirtide acetate
Usymro,EMEA/H/C/006467,Authorised,ustekinumab,ustekinumab
Bilprevda,EMEA/H/C/006435,Authorised,denosumab,denosumab
Tolvaptan Accord,EMEA/H/C/005961,Authorised,tolvaptan,tolvaptan
Onureg,EMEA/H/C/004761,Authorised,azacitidine,azacitidine
Praluent,EMEA/H/C/003882,Authorised,alirocumab,alirocumab
Ayvakyt,EMEA/H/C/005208,Authorised,avapritinib,avapritinib
Nurzigma,EMEA/H/C/006261,Application withdrawn,pridopidine,pridopidine hydrochloride
Tysabri,EMEA/H/C/000603,Authorised,natalizumab,natalizumab
Fintepla,EMEA/H/C/003933,Authorised,fenfluramine,fenfluramine hydrochloride
Harvoni,EMEA/H/C/003850,Authorised,ledispavir;sofosbuvir,ledipasvir;sofosbuvir
Sovaldi,EMEA/H/C/002798,Authorised,sofosbuvir,sofosbuvir
Rimmyrah,EMEA/H/C/006055,Authorised,ranibizumab,ranibizumab
Ecovaxxin MS,EMEA/V/C/006604,Authorised,"Mycoplasma synoviae, strain K588A, Live","Mycoplasma synoviae, strain K588A, Live"
Reagila,EMEA/H/C/002770,Authorised,cariprazine,cariprazine hydrochloride
Xalkori,EMEA/H/C/002489,Authorised,crizotinib,crizotinib
Cancidas (previously Caspofungin MSD),EMEA/H/C/000379,Authorised,caspofungin,caspofungin (as acetate)
Wayrilz,EMEA/H/C/006425,Authorised,rilzabrutinib,rilzabrutinib
Cabazitaxel Accord,EMEA/H/C/005178,Authorised,cabazitaxel,cabazitaxel
Rotarix,EMEA/H/C/000639,Authorised,"rotavirus vaccine, live","human rotavirus, live attenuated"
Olanzapine Viatris (previously Olanzapine Mylan),EMEA/H/C/000961,Authorised,olanzapine,olanzapine
Herzuma,EMEA/H/C/002575,Authorised,trastuzumab,trastuzumab
Norvir,EMEA/H/C/000127,Authorised,ritonavir,ritonavir
Dupixent,EMEA/H/C/004390,Authorised,dupilumab,dupilumab
Lenalidomide Krka (previously Lenalidomide Krka d.d. Novo mesto),EMEA/H/C/005348,Authorised,lenalidomide,lenalidomide hydrochloride monohydrate
Lunsumio,EMEA/H/C/005680,Authorised,mosunetuzumab,mosunetuzumab
Vaxxinact H5,EMEA/V/C/006717,Authorised,"Avian influenza virus, subtype H5, haemagglutinin (recombinant)","Avian influenza virus, subtype H5, haemagglutinin (recombinant)"
Gazyvaro,EMEA/H/C/002799,Authorised,obinutuzumab,obinutuzumab
Apremilast Accord,EMEA/H/C/006208,Authorised,apremilast,apremilast
Voraxaze,EMEA/H/C/005467,Authorised,glucarpidase,glucarpidase
Kuvan,EMEA/H/C/000943,Authorised,sapropterin,sapropterin dihydrochloride
Trazimera,EMEA/H/C/004463,Authorised,trastuzumab,trastuzumab
Talmanco (previously Tadalafil Generics),EMEA/H/C/004297,Authorised,tadalafil,tadalafil
Kapruvia,EMEA/H/C/005612,Authorised,difelikefalin,difelikefalin
Itovebi,EMEA/H/C/006353,Authorised,inavolisib,inavolisib
Obodence,EMEA/H/C/006424,Authorised,denosumab,denosumab
Tyverb,EMEA/H/C/000795,Authorised,lapatinib,lapatinib
Bildyos,EMEA/H/C/006434,Authorised,denosumab,denosumab
Imlygic,EMEA/H/C/002771,Authorised,talimogene laherparepvec,talimogene laherparepvec
Eltrombopag Viatris,EMEA/H/C/006417,Authorised,eltrombopag,eltrombopag olamine
Ofev,EMEA/H/C/003821,Authorised,nintedanib,nintedanib
Spedra,EMEA/H/C/002581,Authorised,avanafil,avanafil
Vabysmo,EMEA/H/C/005642,Authorised,faricimab,Faricimab
Veklury,EMEA/H/C/005622,Authorised,remdesivir,remdesivir
Vaxneuvance,EMEA/H/C/005477,Authorised,pneumococcal polysaccharide conjugate vaccine (adsorbed),pneumococcal polysaccharide conjugate vaccine (adsorbed)
Efmody,EMEA/H/C/005105,Authorised,hydrocortisone,hydrocortisone
Voriconazole Hikma (previously Voriconazole Hospira),EMEA/H/C/003737,Authorised,voriconazole,voriconazole
Levetiracetam Sun,EMEA/H/C/002051,Authorised,levetiracetam,levetiracetam
Jalra,EMEA/H/C/001048,Authorised,vildagliptin,vildagliptin
Alymsys,EMEA/H/C/005286,Authorised,bevacizumab,bevacizumab
Junod,EMEA/H/C/006436,Authorised,denosumab,denosumab
Telzir,EMEA/H/C/000534,Withdrawn,fosamprenavir,fosamprenavir calcium
Granupas (previously Para-aminosalicylic acid Lucane),EMEA/H/C/002709,Withdrawn,para-aminosalicylic acid,para-aminosalicylic acid
Kefdensis,EMEA/H/C/006490,Authorised,denosumab,denosumab
Xiliarx,EMEA/H/C/001051,Authorised,vildagliptin,vildagliptin
Cablivi,EMEA/H/C/004426,Authorised,caplacizumab,Caplacizumab
Osvyrti,EMEA/H/C/006399,Authorised,denosumab,denosumab
Aybintio,EMEA/H/C/005106,Authorised,bevacizumab,bevacizumab
Zemcelpro,EMEA/H/C/005772,Authorised,"allogeneic umbilical cord-derived CD34- cells, non-expanded;dorocubicel","allogeneic umbilical cord-derived CD34- cells, non-expanded;dorocubicel"
Avastin,EMEA/H/C/000582,Authorised,bevacizumab,bevacizumab
Fabhalta,EMEA/H/C/005764,Authorised,iptacopan,iptacopan hydrochloride monohydrate
Attrogy,EMEA/H/C/006248,Authorised,diflunisal,diflunisal
Olumiant,EMEA/H/C/004085,Authorised,baricitinib,Baricitinib
Minjuvi,EMEA/H/C/005436,Authorised,tafasitamab,tafasitamab
Shingrix,EMEA/H/C/004336,Authorised,"herpes zoster vaccine (recombinant, adjuvanted)",recombinant varicella zoster virus glycoprotein E
Replagal,EMEA/H/C/000369,Authorised,agalsidase alfa,agalsidase alfa
Pregabalin Viatris (previously Pregabalin Mylan),EMEA/H/C/004078,Authorised,pregabalin,pregabalin
Tuzulby,EMEA/H/C/005975,Authorised,methylphenidate hydrochloride,methylphenidate hydrochloride
Leflunomide medac,EMEA/H/C/001227,Authorised,leflunomide,leflunomide
Yargesa,EMEA/H/C/004016,Authorised,miglustat,miglustat
Simulect,EMEA/H/C/000207,Authorised,basiliximab,basiliximab
Macitentan AccordPharma,EMEA/H/C/006523,Authorised,macitentan,macitentan
Methylthioninium chloride Proveblue,EMEA/H/C/002108,Authorised,methylthioninium chloride,methylthioninium chloride
Ruconest,EMEA/H/C/001223,Authorised,conestat alfa,recombinant human C1-inhibitor
Altuvoct,EMEA/H/C/005968,Authorised,efanesoctocog alfa,Efanesoctocog alfa
Pirfenidone Viatris,EMEA/H/C/005862,Authorised,pirfenidone,Pirfenidone
Macitentan Accord,EMEA/H/C/006524,Authorised,macitentan,macitentan
Comirnaty,EMEA/H/C/005735,Authorised,COVID-19 mRNA vaccine,"single-stranded, 5’-capped messenger RNA produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2"
Afqlir,EMEA/H/C/006150,Authorised,aflibercept,aflibercept
Puregon,EMEA/H/C/000086,Authorised,follitropin beta,follitropin beta
Fetcroja,EMEA/H/C/004829,Authorised,cefiderocol,cefiderocol sulfate tosilate
RotaTeq,EMEA/H/C/000669,Authorised,"rotavirus vaccine, live",rotavirus serotype G1;rotavirus serotype G2;rotavirus serotype G3;rotavirus serotype G4;rotavirus serotype P1
Orgalutran,EMEA/H/C/000274,Authorised,ganirelix,ganirelix
Jentadueto,EMEA/H/C/002279,Authorised,linagliptin;metformin hydrochloride,linagliptin;metformin
Cetrotide,EMEA/H/C/000233,Authorised,cetrorelix,cetrorelix (as acetate)
Absimky,EMEA/H/C/006585,Withdrawn,ustekinumab,ustekinumab
Saphnelo,EMEA/H/C/004975,Authorised,anifrolumab,anifrolumab
Blarcamesine Anavex,EMEA/H/C/006475,Opinion under re-examination,blarcamesine,blarcamesine hydrochloride
Strimvelis,EMEA/H/C/003854,Authorised,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ADA) cDNA sequence from human haematopoietic stem/progenitor (CD34+) cells
Qtern,EMEA/H/C/004057,Authorised,saxagliptin;dapagliflozin,saxagliptin;dapagliflozin propanediol monohydrate
Xigduo,EMEA/H/C/002672,Authorised,dapagliflozin;metformin,metformin hydrochloride;dapagliflozin propanediol monohydrate
Ebymect,EMEA/H/C/004162,Authorised,dapagliflozin;metformin,dapagliflozin propanediol monohydrate;metformin hydrochloride
Cosentyx,EMEA/H/C/003729,Authorised,secukinumab,secukinumab
Leflunomide ratiopharm,EMEA/H/C/002035,Authorised,leflunomide,leflunomide
Mepact,EMEA/H/C/000802,Authorised,mifamurtide,mifamurtide
Caelyx pegylated liposomal,EMEA/H/C/000089,Authorised,doxorubicin,doxorubicin hydrochloride
Azacitidine Kabi,EMEA/H/C/006154,Authorised,azacitidine,azacitidine
Breyanzi,EMEA/H/C/004731,Authorised,lisocabtagene maraleucel,lisocabtagene maraleucel
Alyftrek,EMEA/H/C/006382,Authorised,deutivacaftor / tezacaftor / vanzacaftor,deutivacaftor;tezacaftor;vanzacaftor calcium dihydrate
Invokana,EMEA/H/C/002649,Authorised,canagliflozin,canagliflozin
Ziihera,EMEA/H/C/006380,Authorised,zanidatamab,zanidatamab
Trumenba,EMEA/H/C/004051,Authorised,"meningococcal group b vaccine (recombinant, adsorbed)",Neisseria meningitidis serogroup B fHbp (recombinant lipidated fHbp (factor H binding protein)) subfamily A; Neisseria meningitidis serogroup B fHbp (recombinant lipidated fHbp (factor H binding protein)) subfamily B
Lucentis,EMEA/H/C/000715,Authorised,ranibizumab,ranibizumab
Entyvio,EMEA/H/C/002782,Authorised,vedolizumab,vedolizumab
Ocrevus,EMEA/H/C/004043,Authorised,ocrelizumab,ocrelizumab
"Adjupanrix (previously Pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted) GlaxoSmithKline Biologicals)",EMEA/H/C/001206,Authorised,"pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)","split influenza virus, inactivated, containing antigen: A/VietNam/1194/2004 (H5N1) like strain used (NIBRG-14)"
Tasigna,EMEA/H/C/000798,Authorised,nilotinib,nilotinib
Rapiscan,EMEA/H/C/001176,Authorised,regadenoson,regadenoson
Datroway,EMEA/H/C/006547,Authorised,datopotamab deruxtecan,datopotamab deruxtecan
Rivaroxaban Koanaa,EMEA/H/C/006643,Authorised,rivaroxaban,rivaroxaban
Pradaxa,EMEA/H/C/000829,Authorised,dabigatran etexilate,dabigatran etexilate mesilate
Ngenla,EMEA/H/C/005633,Authorised,somatrogon,somatrogon
Matever,EMEA/H/C/002024,Authorised,levetiracetam,levetiracetam
Seffalair Spiromax,EMEA/H/C/004881,Authorised,salmeterol;fluticasone propionate,fluticasone propionate;salmeterol xinafoate
Omforro,EMEA/H/C/005657,Application withdrawn,midazolam,Midazolam Hydrochloride
Erelzi,EMEA/H/C/004192,Authorised,etanercept,etanercept
Kesimpta,EMEA/H/C/005410,Authorised,ofatumumab,ofatumumab
Sunlenca,EMEA/H/C/005638,Authorised,lenacapavir,lenacapavir sodium
Ventavis,EMEA/H/C/000474,Authorised,iloprost,iloprost
Cyanokit,EMEA/H/C/000806,Authorised,hydroxocobalamin,hydroxocobalamin
Opsumit,EMEA/H/C/002697,Authorised,macitentan,macitentan
Trisenox,EMEA/H/C/000388,Authorised,arsenic trioxide,arsenic trioxide
Ambrisentan Viatris (previously Ambrisentan Mylan),EMEA/H/C/004985,Authorised,ambrisentan,ambrisentan
Cholib,EMEA/H/C/002559,Authorised,fenofibrate;simvastatin,fenofibrate;simvastatin
Libmeldy,EMEA/H/C/005321,Authorised,autologous CD34+ cells encoding ARSA gene,atidarsagene autotemcel
Retsevmo,EMEA/H/C/005375,Authorised,selpercatinib,selpercatinib
Coagadex,EMEA/H/C/003855,Authorised,human coagulation factor X,human coagulation factor X
Remicade,EMEA/H/C/000240,Authorised,infliximab,infliximab
Repatha,EMEA/H/C/003766,Authorised,evolocumab,Evolocumab
Levetiracetam Hospira,EMEA/H/C/002783,Authorised,levetiracetam,levetiracetam
Clopidogrel Viatris (previously Clopidogrel Taw Pharma),EMEA/H/C/001189,Authorised,clopidogrel,clopidogrel besilate
Prialt,EMEA/H/C/000551,Authorised,ziconotide,ziconotide
Synagis,EMEA/H/C/000257,Authorised,palivizumab,palivizumab
Azacitidine Mylan,EMEA/H/C/004984,Authorised,azacitidine,azacitidine
Imaavy,EMEA/H/C/006379,Authorised,nipocalimab,nipocalimab
Jelrix,EMEA/H/C/004594,Application withdrawn,"autologous cartilage-derived articular chondrocytes, in-vitro expanded",
Anktiva,EMEA/H/C/006622,Opinion,nogapendekin alfa inbakicept,nogapendekin alfa inbakicept
Aumseqa,EMEA/H/C/006069,Opinion,Aumolertinib,Aumolertinib mesilate
Exdensur,EMEA/H/C/006446,Opinion,depemokimab,depemokimab
Gotenfia,EMEA/H/C/006621,Opinion,golimumab,golimumab
mNexspike,EMEA/H/C/006428,Opinion,COVID-19 mRNA vaccine,mRNA encoding for the linked NTD and RBD domains of the spike glycoprotein of SARS-CoV-2 (mRNA-1283)
Ranluspec,EMEA/H/C/006502,Opinion,ranibizumab,ranibizumab
Myqorzo,EMEA/H/C/006228,Opinion,aficamten,aficamten
Prevymis,EMEA/H/C/004536,Authorised,letermovir,Letermovir
Teriflunomide Viatris (previously Teriflunomide Mylan),EMEA/H/C/005962,Authorised,teriflunomide,teriflunomide
Darunavir Viatris (previously Darunavir Mylan),EMEA/H/C/004068,Authorised,darunavir,darunavir
Tobi Podhaler,EMEA/H/C/002155,Authorised,tobramycin,tobramycin
Afstyla,EMEA/H/C/004075,Authorised,lonoctocog alfa,lonoctocog alfa
Pifeltro,EMEA/H/C/004747,Authorised,doravirine,doravirine
Hyrimoz,EMEA/H/C/004320,Authorised,adalimumab,adalimumab
Hefiya,EMEA/H/C/004865,Authorised,adalimumab,adalimumab
Mounjaro,EMEA/H/C/005620,Authorised,tirzepatide,tirzepatide
Aimovig,EMEA/H/C/004447,Authorised,erenumab,erenumab
Livogiva,EMEA/H/C/005087,Authorised,teriparatide,teriparatide
Kovaltry,EMEA/H/C/003825,Authorised,octocog alfa,octocog alfa
Eydenzelt,EMEA/H/C/005899,Authorised,aflibercept,aflibercept
Sirolimus TriviumVet,EMEA/V/C/006230,Application withdrawn,sirolimus,sirolimus
Pandemic influenza vaccine H5N1 AstraZeneca (previously Pandemic influenza vaccine H5N1 Medimmune),EMEA/H/C/003963,Authorised,"pandemic influenza vaccine (H5N1) (live attenuated, nasal)",reassortant influenza virus (live attenuated) of the following strain: A/Vietnam/1203/2004 (H5N1) strain
Rizmoic,EMEA/H/C/004256,Authorised,naldemedine,naldemedine tosilate
Esbriet,EMEA/H/C/002154,Authorised,pirfenidone,Pirfenidone
Cejemly,EMEA/H/C/006088,Authorised,sugemalimab,sugemalimab
Carbaglu,EMEA/H/C/000461,Authorised,carglumic acid,carglumic acid
Bimervax,EMEA/H/C/006058,Authorised,"COVID-19 Vaccine (recombinant, adjuvanted)",SARS-CoV-2 virus recombinant spike (S) protein receptor binding domain (RBD) fusion dimer produced by recombinant DNA technology
Enzalutamide Viatris,EMEA/H/C/006299,Authorised,enzalutamide,enzalutamide
Loargys,EMEA/H/C/005484,Authorised,pegzilarginase,Pegzilarginase
Inbrija,EMEA/H/C/004786,Authorised,levodopa,levodopa
Anzupgo,EMEA/H/C/006109,Authorised,delgocitinib,Delgocitinib
Gohibic,EMEA/H/C/006123,Authorised,vilobelimab,vilobelimab
Kimmtrak,EMEA/H/C/004929,Authorised,tebentafusp,tebentafusp
Opdivo,EMEA/H/C/003985,Authorised,nivolumab,nivolumab
Levetiracetam Accord,EMEA/H/C/002290,Authorised,levetiracetam,levetiracetam
Dacogen,EMEA/H/C/002221,Authorised,decitabine,decitabine
Aubagio,EMEA/H/C/002514,Authorised,teriflunomide,teriflunomide
Eviplera,EMEA/H/C/002312,Authorised,emtricitabine;rilpivirine;tenofovir disoproxil,emtricitabine;rilpivirine hydrochloride;tenofovir disoproxil fumarate
Abecma,EMEA/H/C/004662,Authorised,idecabtagene vicleucel,idecabtagene vicleucel
Palforzia,EMEA/H/C/004917,Authorised,"defatted powder of Arachis hypogaea L., semen (peanuts)","defatted powder of Arachis hypogaea L., semen (peanuts)"
Tecartus,EMEA/H/C/005102,Authorised,brexucabtagene autoleucel,autologous peripheral blood T cells CD4 and CD8 selected and CD3 and CD28 activated transduced with retroviral vector expressing anti-CD19 CD28/CD3-zeta chimeric antigen receptor and cultured (brexucabtagene autoleucel)
Yescarta,EMEA/H/C/004480,Authorised,axicabtagene ciloleucel,axicabtagene ciloleucel
Caprelsa,EMEA/H/C/002315,Authorised,vandetanib,vandetanib
Neulasta,EMEA/H/C/000420,Authorised,pegfilgrastim,pegfilgrastim
Symkevi,EMEA/H/C/004682,Authorised,tezacaftor;ivacaftor,tezacaftor;ivacaftor
Zubsolv,EMEA/H/C/004407,Authorised,buprenorphine;naloxone,buprenorphine hydrochloride;naloxone hydrochloride dihydrate
Xermelo,EMEA/H/C/003937,Authorised,telotristat ethyl,telotristat etiprate
Scemblix,EMEA/H/C/005605,Authorised,asciminib,asciminib hydrochloride
Filspari,EMEA/H/C/005783,Authorised,sparsentan,sparsentan
Lyfnua,EMEA/H/C/005476,Authorised,gefapixant,gefapixant
Eucreas,EMEA/H/C/000807,Authorised,vildagliptin;metformin,vildagliptin;metformin hydrochloride
Ravicti,EMEA/H/C/003822,Authorised,glycerol phenylbutyrate,glycerol phenylbutyrate
Adynovi,EMEA/H/C/004195,Authorised,rurioctocog alfa pegol,rurioctocog alfa pegol
Icandra (previously Vildagliptin / metformin hydrochloride Novartis),EMEA/H/C/001050,Authorised,vildagliptin;metformin,vildagliptin;metformin hydrochloride
Zomarist,EMEA/H/C/001049,Authorised,vildagliptin;metformin,vildagliptin;metformin hydrochloride
Firocoxib CP-Pharma,EMEA/V/C/006921,Opinion,firocoxib,firocoxib
Varenzin,EMEA/V/C/006513,Opinion,molidustat,molidustat sodium
Epizootic haemorrhagic disease vaccine (recombinant protein) Laboratorios Syva S.A.,EMEA/V/C/006804,Opinion,Epizootic haemorrhagic disease vaccine (recombinant protein),"Epizootic hemorrhagic disease virus, serotype 8, VP2 protein"
Denosumab Intas,EMEA/H/C/006797,Authorised,denosumab,denosumab
Jivi,EMEA/H/C/004054,Authorised,damoctocog alfa pegol,Damoctocog alfa pegol
Sogroya,EMEA/H/C/005030,Authorised,somapacitan,somapacitan
Nucala,EMEA/H/C/003860,Authorised,mepolizumab,Mepolizumab
